disp,avg_wt,avg_tat,cpu_util,hard_wt,hard_tat,soft_wt,soft_tat,hard_miss,soft_miss
0,322.50,443.75,100.00,240.00,337.50,300.00,440.00,4,2
5,385.62,506.88,90.17,282.50,380.00,385.00,525.00,4,2
10,448.75,570.00,82.11,337.50,435.00,445.00,585.00,4,2
15,506.25,627.50,75.36,381.25,478.75,505.00,645.00,4,2
20,563.75,685.00,69.64,425.00,522.50,565.00,705.00,4,2
25,621.25,742.50,64.73,468.75,566.25,625.00,765.00,4,2
